straw_number,max_tension,min_tension,nominal_tension
0,850.000,680.9467999,725.9417028
1,850.000,680.9467999,725.9417028
2,850.000,680.3415943,725.6388406
3,850.000,680.3415943,725.6388406
4,850.000,679.7138654,725.3247052
5,850.000,679.7138654,725.3247052
6,850.000,679.0625417,724.9987603
7,850.000,679.0625417,724.9987603
8,850.000,678.3864737,724.6604303
9,850.000,678.3864737,724.6604303
10,850.000,677.6844602,724.309114
11,850.000,677.6844602,724.309114
12,850.000,676.9551447,723.9441321
13,850.000,676.9551447,723.9441321
14,850.000,676.1971376,723.564789
15,850.000,676.1971376,723.564789
16,850.000,675.408893,723.1703108
17,850.000,675.408893,723.1703108
18,850.000,674.5887482,722.7598648
19,850.000,674.5887482,722.7598648
20,850.000,673.7349303,722.3325636
21,850.000,673.7349303,722.3325636
22,850.000,672.8454929,721.8874326
23,850.000,672.8454929,721.8874326
24,850.000,671.9183175,721.4234111
25,850.000,671.9183175,721.4234111
26,850.000,670.9511545,720.9393728
27,850.000,670.9511545,720.9393728
28,850.000,669.9414559,720.4340418
29,850.000,669.9414559,720.4340418
30,850.000,668.886542,719.9060764
31,850.000,668.886542,719.9060764
32,850.000,667.7834276,719.3539819
33,850.000,667.7834276,719.3539819
34,850.000,666.6288302,718.7761147
35,850.000,666.6288302,718.7761147
36,850.000,665.4191589,718.1706765
37,850.000,665.4191589,718.1706765
38,850.000,664.1504579,717.5356867
39,850.000,664.1504579,717.5356867
40,850.000,662.818387,716.8689717
41,850.000,662.818387,716.8689717
42,850.000,661.4180399,716.1680747
43,850.000,661.4180399,716.1680747
44,850.000,659.9440826,715.4303246
45,850.000,659.9440826,715.4303246
46,850.000,658.3904618,714.6526898
47,850.000,658.3904618,714.6526898
48,850.000,656.7504806,713.8318165
49,850.000,656.7504806,713.8318165
50,850.000,655.0165855,712.9639219
51,850.000,655.0165855,712.9639219
52,850.000,653.1802451,712.0447331
53,850.000,653.1802451,712.0447331
54,850.000,651.2318058,711.0694152
55,850.000,651.2318058,711.0694152
56,850.000,649.1603494,710.0324995
57,850.000,649.1603494,710.0324995
58,850.000,646.9532906,708.9276825
59,850.000,646.9532906,708.9276825
60,850.000,644.5962494,707.7477613
61,850.000,644.5962494,707.7477613
62,850.000,642.0726179,706.4844167
63,850.000,642.0726179,706.4844167
64,850.000,639.3630269,705.127946
65,850.000,639.3630269,705.127946
66,850.000,636.4448213,703.6669999
67,850.000,636.4448213,703.6669999
68,850.000,633.2913339,702.0882189
69,850.000,633.2913339,702.0882189
70,850.000,629.8708951,700.3757363
71,850.000,629.8708951,700.3757363
72,850.000,626.1454881,698.5105046
73,850.000,626.1454881,698.5105046
74,850.000,622.0690475,696.4694423
75,850.000,622.0690475,696.4694423
76,850.000,617.5852699,694.2243362
77,850.000,617.5852699,694.2243362
78,850.000,612.6243691,691.740215
79,850.000,612.6243691,691.740215
80,850.000,607.0985651,688.9730863
81,850.000,607.0985651,688.9730863
82,850.000,600.8959895,685.8668814
83,850.000,600.8959895,685.8668814
84,850.000,593.871122,682.3486578
85,850.000,593.871122,682.3486578
86,850.000,585.8306473,678.3215056
87,850.000,585.8306473,678.3215056
88,850.000,576.5117818,673.653674
89,850.000,576.5117818,673.653674
90,850.000,565.5457009,668.1602212
91,850.000,565.5457009,668.1602212
92,850.000,557.6642979,664.211683
93,850.000,557.6642979,664.211683
94,850.000,549.0041965,659.8726807
95,850.000,549.0041965,659.8726807
