Position,StrawLength(in),x_middle,y_middle
0,47.51870245,10.418,1.0999
4,46.89561353,10.912,1.4187
8,46.24333881,11.406,1.7527
12,45.56062738,11.9,2.0811
16,44.84607973,12.394,2.4413
20,44.09813222,12.888,2.825
24,43.31504918,13.382,3.2067
28,42.49488384,13.876,3.6099
32,41.63543143,14.37,4.0438
36,40.73418228,14.864,4.4817
40,39.78829052,15.358,4.9577
44,38.79446463,15.852,5.4594
48,37.74889709,16.346,5.986
52,36.64713928,16.84,6.5353
56,35.48391382,17.334,7.1174
60,34.25291916,17.828,7.7296
64,32.94652461,18.322,8.3812
68,31.55527,18.816,9.079
72,30.0673184,19.31,9.8265
76,28.46736935,19.804,10.6191
80,26.73515775,20.298,11.4977
84,24.84278785,20.792,12.4384
88,22.74991711,21.286,13.4814
92,20.86332494,21.81,14.4217
