Position,SampleLength(in),x_middle,y_middle
0,0.5144,10.418,1.1113
4,0.5484,10.912,1.1453
8,0.5883,11.406,1.1852
12,0.6282,11.9,1.2251
16,0.6681,12.394,1.2650
20,0.708,12.888,1.3049
24,0.7479,13.382,1.3448
28,0.7878,13.876,1.3847
32,0.8277,14.37,1.4246
36,0.8676,14.864,1.4645
40,0.9075,15.358,1.5044
44,0.9474,15.852,1.5443
48,0.9873,16.346,1.5842
52,1.0272,16.84,1.6241
56,1.0671,17.334,1.6640
60,1.107,17.828,1.7039
64,1.1469,18.322,1.7438
68,1.1868,18.816,1.7837
72,1.2267,19.31,1.8236
76,1.2666,19.804,1.8635
80,1.3065,20.298,1.9034
84,1.3464,20.792,1.9433
88,1.3863,21.286,1.9832
92,1.4262,21.81,2.0231
