*Vin, 5V*,,,,
8.05,5,,,,
*R0, R1, R2, R3, R4, R5*
509.8,509.8,510,510,509.8,510
*Measurement, % Error, Device_Resistance*,,,
01ii,0.252747097,444.3867917,,,
01io,0.162419658,366.5821397,,,
01oi,0.262211166,445.9400474,,,
01oo,0.193668468,387.5986703,,,
02ii,0.140495271,361.8215074,,,
02io,0.12679817,356.0556114,,,
02oi,0.153420242,367.8204148,,,
02oo,0.139854333,361.8222794,,,
03ii,0.275988074,470.6612562,,,
03io,0.242975272,443.138061,,,
03oi,0.123064192,408.6573088,,,
03oo,0.153639168,377.6233424,,,
04ii,0.127553858,367.3440265,,,
04io,0.133366505,366.9034897,,,
04oi,0.201325055,406.9259865,,,
04oo,0.174460837,384.7269598,,,
05ii,0.156601354,384.6381233,,,
05io,0.172498086,390.8369548,,,
05oi,0.194895201,410.2166576,,,
05oo,0.183261798,398.9321866,,,
06ii,0.156437848,401.166493,,,
06io,0.210012173,427.157707,,,
06oi,0.236686694,454.3614802,,,
06oo,0.131075091,375.0283932,,,
07ii,0.153154707,389.5290954,,,
07io,0.25424883,465.9137294,,,
07oi,0.124136681,378.3992084,,,
07oo,0.117058573,378.8673472,,,
08ii,0.14812246,397.8331175,,,
08io,0.124775344,377.6839133,,,
08oi,0.163957296,401.681991,,,
08oo,0.129101264,378.4574408,,,
09ii,0.220429836,426.3195378,,,
09io,0.181970862,394.7620784,,,
09oi,0.270349423,469.20732,,,
09oo,0.16147912,389.8617244,,,
10ii,0.226547419,436.9330183,,,
10io,0.166257213,395.2955274,,,
10oi,0.23588573,434.8736102,,,
10oo,0.179028683,395.4736786,,,
11ii,0.175764459,395.4650571,,,
11io,0.169120221,397.6184377,,,
11oi,0.174427103,397.3458015,,,
11oo,0.165788935,398.6499774,,,
12ii,0.176208001,453.556944,,,
12io,0.152978366,402.6161586,,,
12oi,0.199143049,430.4270935,,,
12oo,0.271894118,478.7774242,,,
13ii,0.138427007,387.1156783,,,
13io,0.180736083,458.907377,,,
13oi,0.126115769,386.8389451,,,
13oo,0.253166804,467.7222324,,,
14ii,0.182267148,410.6010346,,,
14io,0.16940933,406.5763048,,,
14oi,0.163437428,401.0290835,,,
14oo,0.147123071,395.8365291,,,
15ii,0.176226013,406.9902834,,,
15io,0.192368144,429.7948746,,,
15oi,0.170621178,407.6690228,,,
15oo,0.14503855,405.6671094,,,
16ii,0.113540345,388.5577658,,,
16io,0.129774386,393.6899088,,,
16oi,0.180825105,419.3887863,,,
16oo,0.202921859,431.8420658,,,
17ii,0.106860655,382.4339701,,,
17io,0.108864474,383.7779644,,,
17oi,0.197142841,449.7501917,,,
17oo,0.223559474,471.3284588,,,
18ii,0.118485958,398.7096445,,,
18io,0.105231439,388.5124123,,,
18oi,0.119055089,391.0861042,,,
18oo,0.117163078,388.3014465,,,
19ii,0.11,380.5249226,,,
19io,0.132520279,429.4555793,,,
19oi,0.110870701,389.1411517,,,
19oo,0.109510583,393.0791187,,,
20ii,0.128954797,414.734989,,,
20io,0.107055195,395.0723618,,,
20oi,0.244200233,495.8396451,,,
20oo,0.119429386,401.6962029,,,
21ii,0.127025837,340.3101529,,,
21io,0.131582535,341.5071279,,,
21oi,0.168839129,361.4785152,,,
21oo,0.282695806,420.8761253,,,
22ii,0.262112609,406.2294509,,,
22io,0.261832824,407.7809612,,,
22oi,0.262157334,404.4172486,,,
22oo,0.249310319,398.3462909,,,
23ii,0.229723,390.8762322,,,
23io,0.2474642,404.7051108,,,
23oi,0.177243053,369.3986136,,,
23oo,0.239681813,404.4064251,,,
24ii,0.292694011,457.2142856,,,
24io,0.24609878,427.5739257,,,
24oi,0.266560566,417.8175448,,,
24oo,0.278657306,422.7746935,,,
