straw, date/time, co2, worker, chamber, leakRate, errorstraw, date/time, co2, worker, chamber, leakrate, error, comments, , 
bkh30,  3/23/2018 17:15,  co2,  jacob,  chamber30, 0, 0,  ,  , 
bkg20_c,  3/26/2018 8:10,  co2,  jacob,  chamber20, -3.37e-06, 2.62e-06,  ,  , 
bkg21_c,  3/26/2018 8:10,  co2,  jacob,  chamber21, 1.04e-08, 2.62e-06,  ,  , 
bkg22_c,  3/26/2018 8:10,  co2,  jacob,  chamber22, 3.77e-06, 2.57e-06,  ,  , 
bkg23_c,  3/26/2018 8:10,  co2,  jacob,  chamber23, -6.20e-06, 2.57e-06,  ,  , 
bkg24_c,  3/26/2018 8:10,  co2,  jacob,  chamber24, -6.66e-07, 2.54e-06,  ,  , 
bkg19_c,  3/26/2018 8:10,  co2,  jacob,  chamber19, 1.33e-06, 2.46e-06,  ,  , 
bkg18_c,  3/26/2018 8:10,  co2,  jacob,  chamber18, -8.16e-07, 2.80e-06,  ,  , 
bkg17_c,  3/26/2018 8:10,  co2,  jacob,  chamber17, 1.87e-06, 3.48e-06,  ,  , 
bkg16_c,  3/26/2018 8:10,  co2,  jacob,  chamber16, -1.59e-06, 2.81e-06,  ,  , 
bkg15_c,  3/26/2018 8:10,  co2,  jacob,  chamber15, -6.00e-07, 2.48e-06,  ,  , 
bkg10_c,  3/26/2018 8:10,  co2,  jacob,  chamber10, -2.06e-06, 2.56e-06,  ,  , 
bkg11_c,  3/26/2018 8:10,  co2,  jacob,  chamber11, -3.34e-06, 2.62e-06,  ,  , 
bkg12_c,  3/26/2018 8:10,  co2,  jacob,  chamber12, -1.32e-06, 2.90e-06,  ,  , 
bkg13_c,  3/26/2018 8:10,  co2,  jacob,  chamber13, -1.96e-06, 2.80e-06,  ,  , 
bkg14_c,  3/26/2018 8:10,  co2,  jacob,  chamber14, 1.29e-06, 2.44e-06,  ,  , 
bkg9_ch,  3/26/2018 8:10,  co2,  jacob,  chamber9, -5.27e-06, 2.50e-06,  ,  , 
bkg8_ch,  3/26/2018 8:10,  co2,  jacob,  chamber8, -1.81e-06, 2.58e-06,  ,  , 
bkg7_ch,  3/26/2018 8:10,  co2,  jacob,  chamber7, -7.25e-06, 2.64e-06,  ,  , 
bkg6_ch,  3/26/2018 8:10,  co2,  jacob,  chamber6, -2.02e-06, 2.73e-06,  ,  , 
