Position,SampleLength(in),x_middle,y_middle
2,0.5156,10.418,1.4225
6,0.5484,10.912,1.4553
10,0.5883,11.406,1.4952
14,0.6282,11.9,1.5351
18,0.6681,12.394,1.5750
22,0.708,12.888,1.6149
26,0.7479,13.382,1.6548
30,0.7878,13.876,1.6947
34,0.8277,14.37,1.7346
38,0.8676,14.864,1.7745
42,0.9075,15.358,1.8144
46,0.9474,15.852,1.8543
50,0.9873,16.346,1.8942
54,1.0272,16.84,1.9341
58,1.0671,17.334,1.9740
62,1.107,17.828,2.0139
66,1.1469,18.322,2.0538
70,1.1868,18.816,2.0937
74,1.2267,19.31,2.1336
78,1.2666,19.804,2.1735
82,1.3065,20.298,2.2134
86,1.3464,20.792,2.2533
90,1.3863,21.286,2.2932
94,1.4262,21.81,2.3331
