Position,StrawLength(in),x_middle,y_middle
0,47.50728346,10.418,1.1113
4,46.88433071,10.912,1.43
8,46.23220472,11.406,1.7638
12,45.54968504,11.9,2.092
16,44.83527559,12.394,2.4521
20,44.08751969,12.888,2.8356
24,43.30464567,13.382,3.2171
28,42.48464567,13.876,3.6201
32,41.62543307,14.37,4.0538
36,40.72437008,14.864,4.4915
40,39.77874016,15.358,4.9673
44,38.78511811,15.852,5.4687
48,37.73980315,16.346,5.9951
52,36.63830709,16.84,6.5441
56,35.4753937,17.334,7.1259
60,34.24468504,17.828,7.7378
64,32.93858268,18.322,8.3891
68,31.54767717,18.816,9.0866
72,30.06007874,19.31,9.8337
76,28.46051181,19.804,10.626
80,26.72874016,20.298,11.5041
84,24.83681102,20.792,12.4444
88,22.74444882,21.286,13.4869
92,20.85830709,21.81,14.4267
