Position,StrawLength(in),x_middle,y_middle
0,47.53238455,10.418,1.0862
4,46.90911622,10.912,1.4052
8,46.2566537,11.406,1.7394
12,45.57374569,11.9,2.0679
16,44.85899231,12.394,2.4284
20,44.11082944,12.888,2.8123
24,43.32752092,13.382,3.1942
28,42.50711943,13.876,3.5976
32,41.64741956,14.37,4.0318
36,40.74591091,14.864,4.4700
40,39.7997468,15.358,4.9463
44,38.80563476,15.852,5.4482
48,37.75976617,16.346,5.9751
52,36.65769112,16.84,6.5247
56,35.49413074,17.334,7.1072
60,34.26278164,17.828,7.7197
64,32.95601093,18.322,8.3717
68,31.56435574,18.816,9.0699
72,30.07597571,19.31,9.8178
76,28.47556598,19.804,10.6109
80,26.74285563,20.298,11.4900
84,24.84994086,20.792,12.4313
88,22.75646751,21.286,13.4749
92,20.86933214,21.81,14.4157
